IDENT, ,LATITUDE, ,LONGITUDE
 ,,,,
BPK24, ,"51° 43' 34.47"" N", ,"000° 10' 39.76"" W"
BPK26, ,"52° 07' 39.00"" N", ,"000° 28' 07.00"" W"
BPK86, ,"51° 45' 56.89"" N", ,"000° 04' 45.90"" E"
BRAIN, ,"51° 48' 40.00"" N", ,"0° 39' 6.00"" E"
BRASO, ,"51° 41' 7.00"" N", ,"0° 40' 60.00"" E"
BRIPO, ,"50° 42' 27.00"" N", ,"2° 45' 0.00"" W"
BRUCE, ,"56° 14' 11.00"" N", ,"5° 50' 28.00"" W"
BUDON, ,"57° 42' 7.00"" N", ,"0° 33' 43.00"" W"
BUKUT, ,"52° 45' 30.00"" N", ,"2° 48' 2.00"" E"
BUMUX, ,"50° 48' 16.00"" N", ,"3° 20' 58.00"" W"
BUSIP, ,"51° 40' 57.63"" N", ,"001° 49' 46.95"" W"
BUSTA, ,"52° 5' 34.00"" N", ,"0° 4' 4.00"" E"
BUZAD, ,"51° 56' 32.00"" N", ,"0° 33' 8.00"" W"
BZN01, ,"51° 44' 27.21"" N", ,"001° 37' 39.53"" W"
BZN02, ,"51° 44' 40.92"" N", ,"001° 33' 00.78"" W"
BZN03, ,"51° 45' 12.18"" N", ,"001° 41' 00.84"" W"
BZN09, ,"51° 47' 39.34"" N", ,"001° 22' 25.62"" W"
BZN10, ,"51° 44' 05.60"" N", ,"001° 21' 47.49"" W"
BZN21, ,"51° 45' 20.45"" N", ,"001° 32' 54.79"" W"
BZN25, ,"51° 43' 34.60"" N", ,"001° 40' 32.96"" W"
BZN26, ,"51° 45' 30.84"" N", ,"001° 32' 09.10"" W"
BZN28, ,"51° 45' 34.57"" N", ,"001° 49' 02.34"" W"
BZN43, ,"51° 46' 35.74"" N", ,"001° 26' 17.09"" W"
BZN50, ,"51° 41' 22.77"" N", ,"001° 47' 46.03"" W"
BZN77, ,"51° 46' 06.87"" N", ,"001° 28' 24.66"" W"
BZN97, ,"51° 45' 18.85"" N", ,"001° 33' 04.07"" W"
BZN98, ,"51° 44' 39.48"" N", ,"001° 36' 55.80"" W"
BZN99, ,"51° 43' 27.62"" N", ,"001° 43' 55.11"" W"
CALDA, ,"53° 46' 27.00"" N", ,"2° 38' 38.00"" W"
CAMBO, ,"49° 17' 30.00"" N", ,"5° 51' 35.00"" W"
CAMRA, ,"50° 37' 25.00"" N", ,"0° 6' 25.00"" W"
CARDZ, ,"52° 18' 55.46"" N", ,"000° 48' 17.30"" E"
CASEY, ,"52° 0' 31.00"" N", ,"0° 34' 59.00"" E"
CAVIM, ,"52° 22' 59.96"" N", ,"000° 20' 15.55"" E"
CFD13, ,"52° 15' 45.00"" N", ,"000° 26' 30.00"" W"
CFD33, ,"52° 21' 22.00"" N", ,"000° 09' 56.00"" E"
CGY02, ,"53° 06' 12.44"" N", ,"000° 07' 03.57"" W"
CGY04, ,"53° 06' 57.20"" N", ,"000° 03' 58.87"" W"
CGY09, ,"53° 08' 48.77"" N", ,"000° 03' 43.35"" E"
CGY20, ,"53° 12' 52.45"" N", ,"000° 20' 42.56"" E"
CHASE, ,"52° 36' 48.00"" N", ,"1° 55' 2.00"" W"
CHINN, ,"57° 57' 51.00"" N", ,"4° 11' 17.00"" W"
CHIPP, ,"52° 19' 01.62"" N", ,"000° 48' 14.23"" E"
CLIPY, ,"52° 0' 3.00"" N", ,"1° 5' 9.00"" W"
CLN10, ,"51° 47' 13.00"" N", ,"001° 25' 58.00"" E"
CLN13, ,"51° 49' 58.06"" N", ,"000° 47' 56.26"" E"
CLN16, ,"51° 49' 44.56"" N", ,"000° 43' 06.74"" E"
CLN21, ,"51° 49' 21.67"" N", ,"000° 35' 05.68"" E"
CLN23, ,"52° 06' 12.00"" N", ,"001° 38' 00.00"" E"
CLN28, ,"51° 48' 48.56"" N", ,"000° 23' 49.15"" E"
CLN33, ,"52° 14' 43.00"" N", ,"001° 47' 00.00"" E"
CLN42, ,"52° 22' 02.00"" N", ,"001° 54' 47.00"" E"
CLYDE, ,"55° 57' 48.00"" N", ,"4° 47' 32.00"" W"
COVEN, ,"52° 14' 04.18"" N", ,"000° 46' 23.06"" E"
COWLY, ,"51° 36' 58.00"" N", ,"1° 3' 54.00"" W"
CPT11, ,"51° 37' 31.47"" N", ,"001° 01' 08.73"" W"
CPT27, ,"51° 38' 40.00"" N", ,"001° 54' 12.00"" W"
CPT30, ,"51° 58' 54.31"" N", ,"001° 22' 26.47"" W"
CPT37, ,"51° 42' 30.94"" N", ,"002° 08' 22.61"" W"
CPT51, ,"52° 21' 26.34"" N", ,"001° 29' 40.61"" W"
CPT53, ,"52° 23' 23.88"" N", ,"001° 30' 18.71"" W"
CROFT, ,"53° 37' 37.00"" N", ,"2° 32' 20.00"" W"
CSL39, ,"52° 24' 04.00"" N", ,"002° 16' 17.00"" E"
CSL47, ,"52° 23' 41.00"" N", ,"002° 30' 09.00"" E"
CTM03, ,"52° 45' 33.55"" N", ,"000° 34' 40.38"" W"
CTM08, ,"52° 50' 16.11"" N", ,"000° 30' 33.22"" W"
CTM11, ,"52° 52' 33.53"" N", ,"000° 27' 21.82"" W"
CTM15, ,"52° 45' 18.08"" N", ,"000° 37' 26.77"" W"
CTM25, ,"52° 46' 03.96"" N", ,"000° 36' 23.25"" W"
CTM46, ,"52° 42' 44.79"" N", ,"000° 43' 23.30"" W"
CTM66, ,"52° 49' 17.57"" N", ,"000° 23' 01.42"" W"
CUMBO, ,"55° 56' 34.00"" N", ,"3° 57' 32.00"" W"
CUTEL, ,"55° 53' 9.00"" N", ,"2° 22' 28.00"" E"
CWL01, ,"53° 01' 56.83"" N", ,"000° 27' 31.10"" W"
CWL06, ,"53° 03' 32.35"" N", ,"000° 19' 39.65"" W"
CWL09, ,"53° 01' 49.49"" N", ,"000° 14' 13.53"" W"
CWZ02, ,"53° 01' 31.86"" N", ,"000° 32' 25.63"" W"
CWZ15, ,"53° 01' 36.09"" N", ,"000° 31' 36.43"" W"
DAGGA, ,"51° 49' 19.00"" N", ,"0° 47' 39.00"" E"
DAVOT, ,"57° 20' 42.00"" N", ,"4° 5' 29.00"" W"
DAWLY, ,"50° 34' 27.00"" N", ,"3° 27' 50.00"" W"
DCS19, ,"54° 56' 32.00"" N", ,"003° 44' 15.00"" W"
DCS20, ,"55° 03' 21.00"" N", ,"003° 20' 45.00"" W"
DCS36, ,"55° 08' 26.00"" N", ,"004° 06' 03.00"" W"
DCS37, ,"54° 13' 40.00"" N", ,"002° 42' 22.00"" W"
DCS47, ,"54° 00' 10.00"" N", ,"002° 48' 32.00"" W"
DCS53, ,"53° 54' 40.00"" N", ,"002° 44' 33.00"" W"
DDE01, ,"56° 27' 10.52"" N", ,"003° 04' 01.57"" W"
DDE02, ,"56° 27' 11.62"" N", ,"003° 05' 49.61"" W"
DDE03, ,"56° 27' 12.70"" N", ,"003° 07' 37.80"" W"
DDE06, ,"56° 27' 16.46"" N", ,"003° 14' 17.76"" W"
DDE86, ,"56° 27' 17.69"" N", ,"003° 16' 38.34"" W"
DENBY, ,"53° 31' 13.00"" N", ,"1° 57' 40.00"" W"
DENOG, ,"57° 25' 53.00"" N", ,"1° 45' 16.00"" W"
DESAP, ,"51° 41' 12.87"" N", ,"001° 37' 16.73"" W"
DESIG, ,"53° 31' 38.00"" N", ,"1° 53' 34.00"" W"
DET02, ,"51° 50' 11.71"" N", ,"000° 34' 01.91"" E"
DET03, ,"51° 50' 12.60"" N", ,"000° 34' 55.94"" E"
DET04, ,"51° 21' 06.00"" N", ,"000° 31' 23.00"" E"
DET25, ,"51° 40' 28.34"" N", ,"000° 17' 35.36"" E"
DET29, ,"51° 33' 22.00"" N", ,"001° 16' 17.00"" E"
DET30, ,"51° 44' 54.86"" N", ,"000° 13' 54.28"" E"
DEVAL, ,"50° 51' 25.00"" N", ,"1° 28' 0.00"" E"
DEVBI, ,"60° 42' 54.00"" N", ,"8° 46' 10.00"" W"
DEVOM, ,"50° 43' 18.00"" N", ,"3° 45' 19.00"" W"
DIBAL, ,"52° 47' 50.00"" N", ,"2° 30' 0.00"" E"
DIDEL, ,"50° 50' 35.00"" N", ,"3° 59' 50.00"" W"
DIGBI, ,"55° 11' 6.00"" N", ,"1° 3' 1.00"" W"
DIGUT, ,"51° 39' 1.00"" N", ,"1° 17' 59.00"" W"
DIKAS, ,"51° 46' 37.00"" N", ,"3° 15' 33.00"" W"
DIMLI, ,"54° 56' 47.00"" N", ,"6° 36' 55.00"" W"
DIRGI, ,"60° 37' 17.00"" N", ,"6° 27' 14.00"" W"
DISAL, ,"53° 17' 29.00"" N", ,"1° 37' 51.00"" W"
DISIT, ,"52° 6' 11.00"" N", ,"1° 42' 41.00"" W"
DISRI, ,"51° 51' 28.43"" N", ,"001° 30' 44.98"" W"
DITOB, ,"52° 17' 1.00"" N", ,"1° 49' 27.00"" E"
DND01, ,"56° 27' 13.09"" N", ,"003° 04' 01.38"" W"
DND03, ,"56° 27' 19.53"" N", ,"003° 07' 37.40"" W"
DND05, ,"56° 27' 26.37"" N", ,"003° 11' 30.63"" W"
DND08, ,"56° 27' 35.18"" N", ,"003° 16' 37.32"" W"
DND26, ,"56° 25' 52.96"" N", ,"003° 16' 28.40"" W"
DND50, ,"56° 24' 02.70"" N", ,"003° 15' 37.04"" W"
DND51, ,"56° 24' 20.28"" N", ,"003° 15' 48.40"" W"
DND58, ,"56° 25' 35.72"" N", ,"003° 16' 23.41"" W"
DOBEM, ,"51° 52' 11.00"" N", ,"2° 55' 45.00"" W"
DOGIT, ,"53° 10' 22.00"" N", ,"3° 9' 7.00"" W"
DOKEK, ,"51° 25' 18.00"" N", ,"6° 3' 29.00"" W"
DOLAN, ,"52° 23' 34.00"" N", ,"000° 16' 17.13"" E"
DOLAS, ,"52° 58' 43.00"" N", ,"1° 0' 3.00"" E"
DOLUR, ,"49° 29' 4.00"" N", ,"5° 3' 26.00"" W"
DOMUT, ,"50° 15' 43.00"" N", ,"1° 40' 9.00"" W"
DONIB, ,"55° 43' 9.00"" N", ,"7° 41' 44.00"" W"
DOPEK, ,"53° 23' 4.00"" N", ,"0° 55' 32.00"" W"
DOSUN, ,"60° 7' 3.00"" N", ,"6° 23' 39.00"" W"
DOWNI, ,"57° 4' 39.00"" N", ,"2° 6' 21.00"" W"
DRAKE, ,"50° 12' 34.00"" N", ,"0° 4' 34.00"" W"
DTY03, ,"52° 09' 07.00"" N", ,"001° 02' 48.00"" W"
DTY09, ,"52° 15' 01.46"" N", ,"001° 19' 45.78"" W"
DTY12, ,"52° 16' 25.30"" N", ,"001° 24' 04.91"" W"
DTY15, ,"52° 02' 28.00"" N", ,"000° 47' 03.00"" W"
DTY16, ,"52° 18' 16.84"" N", ,"001° 29' 50.85"" W"
DTY18, ,"52° 23' 16.32"" N", ,"001° 27' 57.98"" W"
DTY19, ,"52° 28' 47.23"" N", ,"001° 37' 25.35"" W"
DTY20, ,"52° 24' 39.11"" N", ,"001° 30' 19.60"" W"
DTY33, ,"52° 32' 34.95"" N", ,"001° 32' 49.61"" W"
DTY90, ,"52° 18' 04.96"" N", ,"001° 15' 27.03"" W"
DTY99, ,"52° 17' 03.13"" N", ,"001° 17' 22.51"" W"
DUB41, ,"53° 28' 14.00"" N", ,"005° 09' 51.00"" W"
DUB43, ,"53° 40' 12.00"" N", ,"005° 08' 50.00"" W"
DUB56, ,"53° 27' 26.00"" N", ,"004° 44' 48.00"" W"
DUB76, ,"53° 26' 14.00"" N", ,"004° 11' 25.00"" W"
DUB88, ,"54° 37' 27.94"" N", ,"007° 53' 29.20"" W"
DVR10, ,"51° 08' 59.00"" N", ,"001° 37' 31.00"" E"
DVR11, ,"51° 15' 42.00"" N", ,"001° 07' 04.00"" E"
EAS05, ,"50° 51' 55.96"" N", ,"001° 23' 47.25"" W"
EAS15, ,"50° 55' 52.23"" N", ,"001° 22' 00.80"" W"
EAS70, ,"50° 49' 44.28"" N", ,"001° 20' 30.97"" W"
EBOTO, ,"52° 21' 33.00"" N", ,"0° 41' 40.00"" W"
ELDER, ,"50° 39' 48.00"" N", ,"1° 20' 14.00"" W"
ELNAV, ,"52° 28' 06.70"" N", ,"000° 02' 32.91"" W"
ELRAG, ,"51° 10' 28.00"" N", ,"5° 6' 21.00"" W"
ELSAN, ,"56° 42' 19.00"" N", ,"3° 43' 58.00"" E"
ELVOS, ,"52° 42' 1.00"" N", ,"1° 18' 25.00"" W"
EMLON, ,"53° 12' 20.00"" N", ,"2° 30' 0.00"" E"
ENITO, ,"52° 48' 5.00"" N", ,"2° 28' 3.00"" E"
ERAKA, ,"58° 0' 0.00"" N", ,"10° 0' 0.00"" W"
ERING, ,"51° 35' 26.00"" N", ,"1° 36' 43.00"" E"
ERLOT, ,"55° 17' 14.00"" N", ,"0° 35' 6.00"" W"
ERMIN, ,"50° 20' 55.00"" N", ,"3° 55' 27.00"" W"
ERNAN, ,"54° 16' 44.00"" N", ,"7° 23' 34.00"" W"
ERNOK, ,"51° 41' 30.00"" N", ,"2° 56' 44.00"" W"
EROSI, ,"52° 22' 31.37"" N", ,"000° 57' 10.36"" E"
